Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD),Country
McLaren,GT,2021,4,414,465,3.1,"210,000",UK
BMW,M2 CS,2022,3,416,406,3.8,"84,595",Germany
Mercedes-Benz,SLS AMG,2015,6.2,416,468,3.6,"228,000",Germany
Chevrolet,Camaro SS,2021,6.2,416,455,4,"42,000",USA
Ford,GT,2022,3.5,416,550,2.8,"500,000",USA
Nissan,370Z Nismo,2021,3.7,416,276,5,"45,000",Japan
Porsche,Taycan,2021,Electric,416,774,2.6,"185,000",Germany
Lamborghini,Urus,2021,4,416,627,3.6,"222,004",Italy
Ferrari,F8 Tributo,2021,3.9,416,568,2.9,"276,550",Italy
Audi,RS 3,2022,2.5,416,354,3.5,"56,000",Germany
McLaren,570S,2021,3.8,416,443,3.1,"191,000",UK
BMW,M5,2022,4.4,416,553,3.2,"104,000",Germany
Mercedes-Benz,AMG C 63,2021,4,416,479,3.9,"69,900",Germany
Chevrolet,Camaro ZL1,2021,6.2,416,650,3.5,"64,000",USA
Porsche,Taycan,2022,2,416,254,5.1,"81,250",Germany
Lamborghini,Aventador,2021,6.5,416,509,2.9,"517,700",Italy
Aston Martin,DBS Superleggera,2022,5.2,416,663,3.4,"330,000",UK
Audi,RS 6 Avant,2021,4,416,590,3.5,"109,000",Germany
McLaren,600LT,2021,3.8,416,457,2.8,"242,500",UK
Mercedes-AMG,C 63 S Coupe,2022,4,416,516,3.7,"77,000",Germany
BMW,M4,2022,3,416,406,4.1,"72,800",Germany
Chevrolet,Camaro ZL1,2021,6.2,416,650,3.5,"62,000",USA
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,416,707,3.5,"76,000",USA
Ford,GT,2022,3.5,416,550,2.9,"500,000",USA
Nissan,370Z,2021,3.7,416,270,4.9,"30,090",Japan
Porsche,Panamera,2022,2.9,416,332,5.3,"87,200",Germany
Lamborghini,Urus,2021,4,416,626,3.5,"218,000",Italy
Bugatti,Chiron,2021,8,416,1180,2.3,"3,000,000",France
Ferrari,F8 Tributo,2021,3.9,416,568,2.9,"274,280",Italy
Audi,RS 7,2021,4,416,590,3.5,"114,000",Germany
McLaren,570S,2021,3.8,429,443,3.1,"191,000",UK
Aston Martin,Vantage,2022,4,429,505,3.5,"142,086",UK
Jaguar,F-Type,2022,5,429,516,3.5,"103,200",UK
Porsche,Panamera Turbo S,2021,4,435,604,2.9,"177,700",Germany
Lamborghini,Aventador S,2021,6.5,444,509,2.9,"417,650",Italy
Ferrari,SF90 Stradale,2021,4,444,590,2.5,"625,000",Italy
Audi,RS7,2022,4,444,590,3.5,"115,045",Germany
McLaren,600LT,2021,3.8,444,457,2.9,"256,500",UK
BMW,M2 Competition,2022,3,444,406,4,"59,895",Germany
Mercedes-Benz,S63 AMG,2021,4,444,664,3.4,"152,500",Germany
Chevrolet,Camaro ZL1,2021,6.2,444,650,3.5,"64,695",USA
Dodge,Challenger SRT Hellcat,2022,6.2,444,656,3.5,"69,995",USA
Ford,GT,2022,3.5,444,550,2.9,"500,000",USA
Porsche,Taycan Turbo S,2021,,444,774,2.6,"185,000",Germany
Lamborghini,Urus,2021,4,444,627,3.2,"218,009",Italy
Ferrari,812 Superfast,2021,6.5,444,530,2.9,"363,730",Italy
Audi,R8 Spyder,2022,5.2,444,406,3.5,"183,300",Germany
McLaren,GT,2021,4,444,465,3.1,"210,000",UK
BMW,M4,2022,3,444,406,4.1,"73,795",Germany
Mercedes-Benz,AMG GT R,2021,4,444,516,3.5,"183,000",Germany
Chevrolet,Corvette Stingray,2021,6.2,444,470,2.9,"60,995",USA
Aston Martin,DB11,2022,5.2,454,516,3.5,"207,000",UK
Bentley,Continental GT,2022,6,454,664,3.5,"203,825",UK
Jaguar,F-Type R,2021,5,454,516,3.5,"103,200",UK
Acura,NSX,2022,3.5,454,476,2.7,"157,500",Japan
Lotus,Evora GT,2021,3.5,454,317,3.7,"99,800",UK
Porsche,Cayman GT4,2021,4,454,309,4.2,"100,200",Germany
Alfa Romeo,4C,2020,1.7,454,258,4.1,"67,150",Italy
Audi,RS5,2022,2.9,454,443,3.7,"77,250",Germany
BMW,M2 Competition,2021,3,454,406,4,"58,900",Germany
Chevrolet,Camaro ZL1,2021,6.2,454,650,3.5,"64,695",USA
Dodge,Charger SRT Hellcat,2022,6.2,454,650,3.6,"71,490",USA
Ford,GT,2022,3.5,454,550,2.8,"500,000",USA
Lexus,LC 500,2022,5,454,398,4.4,"92,950",Japan
Maserati,GranTurismo,2020,4.7,454,384,4.8,"150,400",Italy
Nissan,370Z Nismo,2021,3.7,454,276,4.6,"47,820",Japan
Rolls-Royce,Wraith,2022,6.8,454,605,4.4,"330,000",UK
Subaru,WRX STI,2021,2.5,454,290,4.6,"38,170",Japan
Tesla,Model S Plaid,2022,,454,1050,1.9,"131,190",USA
Porsche,Cayman GT4,2021,4,454,309,4.2,"102,000",Germany
Lamborghini,Aventador,2021,6.5,454,507,2.9,"393,695",Italy
Ferrari,Portofino,2022,3.9,454,413,3.3,"218,750",Italy
Audi,RS7,2021,4,454,590,3.5,"114,000",Germany
McLaren,600LT,2021,3.8,454,457,2.8,"256,500",UK
BMW,M2,2022,3,455,406,4,"58,900",Germany
Mercedes-Benz,AMG GT,2021,4,455,494,3.8,"118,500",Germany
Chevrolet,Camaro SS,2021,6.2,455,455,4.1,"40,590",USA
Ford,Mustang Mach 1,2021,5,455,420,4,"52,720",USA
Nissan,370Z Nismo,2021,3.7,455,276,4.6,"45,000",Japan
Porsche,Panamera Turbo,2022,4,455,604,3.1,"174,300",Germany
Lamborghini,Urus,2021,4,455,627,3.2,"222,004",Italy
Ferrari,SF90 Stradale,2022,4,455,590,2.5,"625,000",Italy
Audi,TT RS,2022,2.5,455,354,3.4,"67,895",Germany
McLaren,GT,2021,4,455,465,3.1,"210,000",UK
Dodge,Challenger SRT Hellcat,2021,6.2,455,656,3.5,"62,290",USA
Aston Martin,DBS Superleggera,2021,5.2,455,663,3.2,"304,995",UK
Jaguar,F-Type R,2021,5,455,516,3.5,"103,200",UK
Lexus,LC 500,2022,5,455,398,4.4,"93,050",Japan
Porsche,Cayman GT4,2022,4,455,309,4.2,"101,200",Germany
BMW,M2 Competition,2022,3,455,406,4,"59,895",Germany
Audi,RS 5 Coupe,2021,2.9,455,443,3.7,"75,100",Germany
Chevrolet,Camaro ZL1,2021,6.2,455,650,3.5,"64,195",USA
Lotus,Evora GT,2022,3.5,455,317,3.8,"105,000",UK
McLaren,GT,2021,4,455,465,3.1,"211,000",UK
Mercedes-Benz,SLS AMG Black Series,2014,6.2,455,468,3.5,"275,000",Germany
Bugatti,Chiron,2021,8,455,1180,2.4,"2,998,000",France
Koenigsegg,Jesko,2021,5,460,1015,2.5,"3,000,000",Sweden
Ferrari,SF90 Stradale,2021,4,460,590,2.5,"625,000",Italy
Lamborghini,Aventador SVJ,2020,6.5,460,531,2.8,"573,966",Italy
Rimac,C_Two,2022,Electric,460,1732,1.85,"2,400,000",Croatia
Pagani,Huayra Roadster BC,2021,6,460,774,2.5,"3,500,000",Italy
Pininfarina,Battista,2022,Electric,469,1696,1.9,"2,500,000",Italy
Acura,NSX,2022,3.5,469,476,2.9,"157,500",Japan
Aston Martin,Vantage,2021,4,469,505,3.5,"146,000",UK
Bentley,Continental GT,2022,4,469,568,3.9,"219,800",UK
Dodge,Challenger SRT Hellcat,2022,6.2,469,656,3.5,"70,000",USA
Jaguar,F-Type,2022,2,469,295,5.4,"61,600",UK
Kia,Stinger,2022,3.3,469,376,4.7,"52,200",South Korea
Lotus,Evora GT,2021,3.5,469,317,3.8,"100,450",UK
Maserati,GranTurismo,2021,4.7,469,384,4.8,"134,300",Italy
Porsche,718 Cayman GT4,2022,4,471,309,4.2,"102,550",Germany
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,471,443,3.8,"76,400",Italy
Audi,RS7,2021,4,471,590,3.5,"114,000",Germany
BMW,M5,2022,4.4,471,553,3.2,"103,500",Germany
Chevrolet,Camaro ZL1,2022,6.2,471,650,3.5,"69,000",USA
Ford,GT,2022,3.5,471,550,3,"500,000",USA
Lamborghini,Aventador,2021,6.5,471,531,2.8,"417,826",Italy
McLaren,Artura,2021,3,471,531,3,"225,000",UK
Mercedes-Benz,SLS AMG,2021,4,471,516,3.6,"247,500",Germany
Nissan,370Z Nismo,2021,3.7,471,276,4.8,"45,790",Japan
Porsche,Taycan,2022,Electric,471,774,2.6,"79,900",Germany
Tesla,Model S,2022,Electric,471,1050,1.98,"119,000",USA
Aston Martin,DBS Superleggera,2022,5.2,471,664,3.2,"307,820",UK
Bentley,Continental GT,2022,4,471,568,3.4,"207,825",UK
Bugatti,Chiron,2021,8,471,1180,2.3,"2,998,000",France
McLaren,570S,2021,3.8,471,443,3.1,"202,500",UK
Porsche,Taycan Turbo S,2021,Electric,471,774,2.6,"185,000",Germany
Lamborghini,Aventador S,2021,6.5,471,509,2.9,"417,826",Italy
Ferrari,F8 Tributo,2022,3.9,471,568,2.8,"276,550",Italy
Audi,RS 7,2022,4,471,590,3.5,"114,000",Germany
BMW,M2 CS,2022,3,471,406,4,"84,595",Germany
Mercedes-Benz,SLS AMG,2021,6.2,471,468,3.2,"275,000",Germany
Chevrolet,Camaro ZL1,2021,6.2,471,650,3.5,"63,000",USA
Ford,GT,2022,3.5,471,550,3,"500,000",USA
Jaguar,F-Type,2021,5,471,516,3.5,"103,200",UK
Lotus,Evora GT,2021,3.5,471,317,3.8,"96,950",UK
Maserati,GranTurismo,2022,4.7,473,384,4.8,"134,300",Italy
McLaren,765LT,2021,4,473,590,2.8,"358,000",UK
Nissan,370Z,2021,3.7,473,270,5,"30,000",Japan
Pagani,Huayra,2021,6,473,738,3,"2,600,000",Italy
Porsche,Panamera Turbo S,2021,4,473,604,2.9,"180,000",Germany
Tesla,Model S Plaid,2021,Electric,473,1050,1.9,"131,100",USA
Aston Martin,DB11,2021,4,473,513,4,"201,495",UK
Dodge,Challenger Hellcat Redeye,2022,6.2,473,707,3.4,"82,190",USA
Lotus,Evora,2021,3.5,473,317,3.8,"96,950",UK
Acura,NSX,2021,3.5,473,476,2.7,"159,495",Japan
Alfa Romeo,Giulia Quadrifoglio,2021,2.9,473,443,3.8,"76,950",Italy
Bentley,Continental GT,2021,6,473,664,3.3,"202,500",UK
Jaguar,F-Type,2022,3,473,339,4.9,"70,100",UK
Koenigsegg,Jesko,2022,5,473,1015,2.5,"3,000,000",Sweden
Lexus,LC 500,2021,5,473,398,4.4,"92,950",Japan
Maserati,GranTurismo,2022,4.7,473,384,4.8,"132,795",Italy
McLaren,GT,2022,4,473,465,3.1,"215,500",UK
Mercedes-AMG,C 63 S Coupe,2022,4,480,516,3.7,"80,900",Germany
Porsche,718 Cayman,2021,2,480,280,4.9,"59,900",Germany
Rolls-Royce,Wraith,2021,6.8,480,605,4.3,"330,000",UK
Tesla,Roadster,2022,-,480,-,1.9,"200,000",USA
Chevrolet,Camaro SS,2021,6.2,480,455,4,"40,000",USA
Ford,GT,2022,3.5,480,550,3,"500,000",USA
Acura,NSX,2022,3.5,482,476,2.7,"157,500",Japan
Aston Martin,DB11,2021,5.2,485,516,3.7,"209,000",UK
Bentley,Continental GT,2022,4,490,568,3.9,"202,500",UK
Bugatti,Chiron,2021,8,490,1180,2.4,"3,000,000",France
Dodge,Challenger Hellcat,2022,6.2,490,656,3.5,"67,500",USA
Jaguar,F-Type,2021,5,490,516,3.5,"103,200",UK
Koenigsegg,Jesko,2022,5,495,1106,2.5,"2,800,000",Sweden
Lexus,LC,2021,5,495,398,4.4,"92,950",Japan
Lotus,Evora GT,2021,3.5,495,317,3.8,"104,200",UK
Maserati,GranTurismo,2021,4.7,500,384,4.7,"133,050",Italy
McLaren,570S,2021,3.8,500,443,3.1,"196,350",UK
Mercedes-Benz,AMG C63,2022,4,503,516,3.8,"69,900",Germany
Pagani,Huayra BC,2021,6,503,774,2.7,"2,600,000",Italy
Porsche,Cayman GT4,2022,4,503,309,4.2,"102,900",Germany
Rimac,Nevera,2022,Electric,503,1696,1.85,"2,400,000",Croatia
Rolls-Royce,Wraith,2021,6.7,503,605,4.4,"338,000",UK
Tesla,Roadster,2022,Electric,503,"10,000+",1.9,"200,000",USA
Acura,NSX,2022,3.5,503,476,2.7,"157,500",Japan
Aston Martin,Vantage,2021,4,503,505,3.5,"150,000",UK
Bentley,Continental GT,2021,6,503,664,3.6,"218,400",UK
Dodge,Challenger SRT Hellcat Redeye,2021,6.2,503,707,3.5,"73,000",USA
Jaguar,F-Type R,2022,5,503,516,3.5,"103,200",UK
Lexus,LC 500,2021,5,503,398,4.4,"92,950",Japan
Lotus,Evora GT,2021,3.5,503,317,3.8,"104,970",UK
Maserati,GranTurismo,2021,4.7,503,384,4.8,"132,400",Italy
Porsche,Cayman GT4,2021,4,503,309,4.2,"101,200",Germany
Tesla,Roadster,2023,Electric,503,737,< 1.9,"200,000",USA
Alpine,A110,2021,1.8,503,236,4.4,"71,500",France
Audi,RS7,2021,4,503,590,3.5,"114,000",Germany
BMW,M4,2021,3,503,406,4.1,"71,800",Germany
Chevrolet,Camaro ZL1,2021,6.2,503,650,3.5,"64,195",USA
Dodge,Viper,2017,8.4,503,600,3.3,"118,795",USA
Ferrari,Portofino,2021,3.9,503,560,3.5,"218,750",Italy
Jaguar,F-Type,2022,3,503,295,5.4,"61,600",UK
Lamborghini,Aventador SVJ,2021,6.5,503,531,2.8,"517,700",Italy
McLaren,600LT,2021,3.8,503,457,2.8,"240,000",UK
Aston Martin,DB11,2021,5.2,503,516,3.5,"221,400",UK
Bentley,Continental GT,2021,6,503,664,3.6,"202,500",UK
Bugatti,Chiron,2022,8,503,1180,2.4,"3,000,000",France
Dodge,Challenger SRT Hellcat,2021,6.2,503,656,3.5,"64,100",USA
Jaguar,F-Type R,2022,5,503,516,3.5,"103,200",UK
Koenigsegg,Jesko,2022,5,503,1015,2.5,"2,800,000",Sweden
Lexus,LC 500,2021,5,503,398,4.4,"92,950",Japan
Lotus,Evora GT,2021,3.5,503,317,3.8,"100,450",UK
Maserati,GranTurismo,2021,4.7,503,384,4.8,"150,980",Italy
McLaren,Artura,2022,3,503,531,3,"225,000",UK
Mercedes-AMG,C 63 S,2022,4,503,516,3.7,"81,550",Germany
Pagani,Huayra,2021,6,503,738,2.8,"3,500,000",Italy
Porsche,Cayman GT4,2021,4,503,309,4.2,"102,550",Germany
Rimac,C_Two,2022,,503,1696,1.8,"2,400,000",Croatia
Rolls-Royce,Wraith,2021,6.6,503,642,4.4,"330,000",UK
Tesla,Roadster,2022,,503,0,1.9,"200,000",USA
Toyota,Supra,2022,3,503,368,3.9,"43,090",Japan
Acura,NSX,2021,3.5,503,476,2.7,"157,500",Japan
Aston Martin,Vantage,2021,4,503,505,3.5,"146,000",UK
Bentley,Continental GT,2022,4,503,568,3.9,"207,825",UK
Dodge,Challenger SRT Hellcat,2021,6.2,505,656,3.5,"64,195",USA
Jaguar,F-Type,2022,3,505,339,4.8,"62,250",UK
Lexus,LC 500,2022,5,505,398,4.4,"92,000",Japan
Lotus,Evora GT,2021,3.5,505,317,3.8,"105,000",UK
Maserati,GranTurismo,2022,4.7,505,384,4.7,"134,300",Italy
McLaren,570S,2022,3.8,505,443,2.9,"204,550",UK
Porsche,Cayman GT4,2021,4,505,309,4.2,"102,000",Germany
